country,games
Egypt,6
Tunisia,7
Trinidad and Tobago,11
Burkina Faso,6
United States of America,41
Ivory Coast,5
Senegal,6
China,8
Ghana,19
Morocco,9
Panama,7
Togo,4
New Zealand,2
Vietnam,7
Nigeria,21
Qatar,18
Costa Rica,7
Guatemala,7
Spain,9
Uganda,19
Chile,13
Kuwait,13
Cyprus,13
Syria,12
Honduras,8
Dominican Republic,3
Malaysia,17
Lebanon,34
Oman,8
Lesotho,7
Thailand,32
Belgium,18
Croatia,4
United Kingdom,10
France,4
Greece,5
Hungary,6
Ireland,9
Israel,4
Italy,5
Luxembourg,5
Macedonia,4
Netherlands,21
Turkey,3
Botswana,4
El Salvador,6
Uzbekistan,2
Zambia,12
Bolivia,6
Cuba,7
Ethiopia,4
Zimbabwe,6
Ecuador,7
Jordan,25
Haiti,4
Japan,6
Venezuela,7
Puerto Rico,1
The Bahamas,2
Nicaragua,2
Suriname,2
Namibia,4
Gambia,3
Colombia,5
Bosnia and Herzegovina,4
Argentina,5
Austria,4
Bulgaria,7
Czech Republic,4
Peru,5
Portugal,5
Switzerland,5
Uruguay,5
South Korea,9
Djibouti,2
Mauritania,1
Fiji,10
Madagascar,5
Malawi,6
Benin,3
Central African Republic,2
Chad,1
Equatorial Guinea,2
Eritrea,2
Iran,14
Libya,4
Rwanda,3
Sudan,4
Swaziland,8
Belize,1
Cameroon,3
Mali,2
Algeria,8
Gabon,5
Kenya,10
Sierra Leone,2
South Africa,6
Angola,4
Republic of Congo,6
Guinea,4
Liberia,3
Mozambique,2
Armenia,2
Brazil,5
Denmark,4
Germany,5
Lithuania,3
Norway,5
Paraguay,6
Poland,4
Romania,5
Russia,4
Jamaica,5
Slovakia,4
Canada,7
Latvia,4
Slovenia,2
Sweden,2
Azerbaijan,3
Estonia,5
Moldova,4
Australia,3
New Caledonia,2
Niger,1
Mexico,4
Burundi,2
Iceland,4
Guyana,1
Albania,3
Finland,3
Indonesia,6
Belarus,2
Ukraine,1
Saudi Arabia,3
United Arab Emirates,5
