country,games
Niger,4
South Africa,45
Kenya,29
Qatar,29
Portugal,9
United Arab Emirates,15
Panama,8
Ethiopia,6
Zambia,22
Togo,3
Lebanon,8
Costa Rica,19
Chile,5
Thailand,7
United States of America,45
Oman,6
Jordan,13
Spain,11
France,9
Albania,5
Belgium,8
United Kingdom,23
Cyprus,4
Greece,5
Honduras,5
Turkey,10
India,3
Iran,6
Ireland,10
Israel,4
Japan,6
Tunisia,8
China,10
Macedonia,5
Mexico,5
Nepal,22
Netherlands,5
Rwanda,6
Saudi Arabia,6
Slovenia,5
Sweden,8
Uzbekistan,5
Vietnam,2
Zimbabwe,5
Gambia,4
Laos,7
Morocco,9
Kyrgyzstan,8
Malaysia,5
Botswana,6
Ecuador,5
Switzerland,7
Kuwait,7
Argentina,3
Austria,5
Bosnia and Herzegovina,4
Bulgaria,2
Colombia,4
Croatia,4
Czech Republic,4
Egypt,8
Hungary,5
Jamaica,6
Kazakhstan,5
Luxembourg,6
Moldova,6
New Zealand,2
Norway,6
Peru,5
Poland,7
Slovakia,3
Philippines,5
Uruguay,5
Belize,1
Burkina Faso,3
Cameroon,6
Republic of Congo,8
Indonesia,6
Ivory Coast,4
Namibia,5
Nigeria,5
Guinea,4
Dominican Republic,2
Equatorial Guinea,4
Ghana,5
Lesotho,3
Liberia,2
Mozambique,4
Algeria,6
Armenia,4
Australia,4
Azerbaijan,5
Bolivia,4
Denmark,7
Estonia,8
Germany,6
Iraq,2
South Korea,15
Montenegro,3
New Caledonia,1
Republic of Serbia,4
Solomon Islands,1
Ukraine,7
Venezuela,6
Brazil,21
Libya,6
Malawi,3
Canada,2
Italy,6
Romania,6
Tajikistan,2
Finland,3
Iceland,5
Latvia,3
Lithuania,4
Paraguay,4
Sudan,3
Angola,4
Gabon,3
Sierra Leone,2
Uganda,4
Benin,2
Mali,3
Belarus,5
Guatemala,2
Swaziland,2
Mauritania,1
Afghanistan,1
Georgia,2
Russia,2
Trinidad and Tobago,2
Cambodia,1
