country,games
Gambia,3
Algeria,3
Guatemala,6
Qatar,27
Spain,12
Honduras,6
Thailand,4
Israel,7
United Arab Emirates,22
France,7
Oman,1
Egypt,2
Benin,1
Greece,5
Saudi Arabia,25
Italy,5
Djibouti,1
Iraq,1
Costa Rica,2
Morocco,20
Libya,2
Hungary,6
United States of America,13
Bulgaria,3
United Kingdom,9
Ireland,8
Belgium,3
Peru,3
Mexico,2
Colombia,2
Germany,27
Bosnia and Herzegovina,3
Jamaica,4
Malaysia,14
El Salvador,2
Guyana,1
Austria,4
Czech Republic,4
Luxembourg,3
Sweden,3
Cuba,1
China,1
Trinidad and Tobago,3
Canada,8
Finland,4
Netherlands,3
Burkina Faso,14
Nepal,10
Switzerland,3
Puerto Rico,1
Denmark,4
Norway,4
Russia,2
Japan,2
Zambia,4
Mozambique,2
Indonesia,10
South Korea,1
Australia,14
Malawi,21
Jordan,24
Uganda,1
Panama,1
Angola,2
Tunisia,2
Albania,2
Ghana,1
Iceland,4
Guinea,1
Liberia,6
Poland,2
Ecuador,1
Chile,3
Romania,3
Turkey,3
Paraguay,4
Gabon,1
Cyprus,3
New Zealand,2
Uruguay,3
Equatorial Guinea,1
Mali,1
Swaziland,1
Solomon Islands,8
Kuwait,5
Sudan,1
Fiji,4
Portugal,1
Syria,1
Cameroon,10
Ivory Coast,2
