country,games
India,4
Rwanda,37
United Arab Emirates,12
Bangladesh,7
Panama,5
Uganda,6
Egypt,7
United States of America,41
Guyana,5
Iran,10
Cuba,2
Chad,1
Croatia,5
Poland,8
Romania,5
Slovenia,4
South Sudan,2
Zambia,3
Australia,6
Bolivia,4
Chile,4
China,8
Czech Republic,7
Denmark,5
Djibouti,2
Ecuador,4
Estonia,7
Ghana,3
Greece,5
Italy,8
Japan,10
Jordan,3
South Korea,5
Madagascar,2
Oman,5
Peru,4
Qatar,8
Saudi Arabia,4
Solomon Islands,4
Turkey,6
Ukraine,5
Uzbekistan,8
Vietnam,5
United Kingdom,13
Algeria,4
Armenia,3
Brazil,4
Canada,2
El Salvador,2
Gabon,2
Guatemala,1
Guinea,2
Haiti,3
Ireland,11
Ivory Coast,5
Jamaica,3
Luxembourg,5
Mali,2
Mauritania,2
Netherlands,5
Nigeria,3
Portugal,9
Slovakia,5
Swaziland,2
Tunisia,7
Austria,16
Burkina Faso,3
Burundi,1
Cameroon,4
Republic of Congo,7
Germany,8
Hungary,4
Russia,4
Senegal,3
Benin,2
Botswana,4
Kenya,6
Mozambique,3
Thailand,9
Central African Republic,2
Equatorial Guinea,2
Spain,5
Sierra Leone,2
Angola,2
Argentina,4
Colombia,4
Costa Rica,4
Dominican Republic,4
Ethiopia,2
France,58
Gambia,3
Georgia,31
Honduras,5
Lebanon,5
Lesotho,2
Liberia,2
Macedonia,4
Malawi,2
Malaysia,24
Mexico,2
Montenegro,2
Morocco,6
Namibia,24
Niger,1
Norway,5
Palestine,2
Paraguay,4
Philippines,10
South Africa,4
Sudan,2
Suriname,2
Sweden,5
Switzerland,7
Tajikistan,6
Togo,4
Uruguay,4
Venezuela,4
Puerto Rico,2
Republic of Serbia,4
Papua New Guinea,15
Cambodia,11
Laos,3
Lithuania,3
Zimbabwe,4
Belgium,5
Latvia,4
Iceland,3
New Caledonia,2
Fiji,1
Bhutan,2
Kyrgyzstan,4
Albania,5
Trinidad and Tobago,2
Kazakhstan,2
Finland,2
Israel,2
Belarus,2
Bosnia and Herzegovina,2
Bulgaria,2
Cyprus,2
Indonesia,4
Moldova,2
Azerbaijan,1
Belize,1
Taiwan,1
New Zealand,1
Nicaragua,2
